# Radio balde [cm]    Tasa_reac    Error rel
0.5    5.7919E-05    0.0040
1.5    3.9950E-04    0.0169
2.5    1.8987E-03    0.0095
3.5    4.0053E-03    0.0070
4    4.9360E-03    0.0063
4.5    5.6914E-03    0.0060
5    6.1862E-03    0.0058
5.5    6.4803E-03    0.0057
6    6.6127E-03    0.0056
6.5    6.6376E-03    0.0057
7    6.5388E-03    0.0058
7.5    6.3655E-03    0.0059
8    5.9958E-03    0.0060
8.5    5.7223E-03    0.0062
9    5.4378E-03    0.0064
10    4.5516E-03    0.0069
11    3.8109E-03    0.0077
12    3.1605E-03    0.0084
13    2.5589E-03    0.0093
14    2.0995E-03    0.0102
15    1.6348E-03    0.0116
